timestamp, memory.used [MiB], memory.total [MiB]
2025/04/28 15:11:51.050, 258 MiB, 12282 MiB
2025/04/28 15:11:52.050, 358 MiB, 12282 MiB
2025/04/28 15:11:53.050, 358 MiB, 12282 MiB
2025/04/28 15:11:54.051, 1362 MiB, 12282 MiB
2025/04/28 15:11:55.051, 1876 MiB, 12282 MiB
2025/04/28 15:11:56.051, 1876 MiB, 12282 MiB
2025/04/28 15:11:57.051, 1876 MiB, 12282 MiB
2025/04/28 15:11:58.051, 1876 MiB, 12282 MiB
2025/04/28 15:11:59.052, 1876 MiB, 12282 MiB
2025/04/28 15:12:00.052, 1876 MiB, 12282 MiB
2025/04/28 15:12:01.052, 1876 MiB, 12282 MiB
2025/04/28 15:12:02.052, 1876 MiB, 12282 MiB
2025/04/28 15:12:03.053, 1876 MiB, 12282 MiB
2025/04/28 15:12:04.053, 1876 MiB, 12282 MiB
2025/04/28 15:12:05.053, 1876 MiB, 12282 MiB
2025/04/28 15:12:06.053, 1876 MiB, 12282 MiB
2025/04/28 15:12:07.053, 1876 MiB, 12282 MiB
2025/04/28 15:12:08.054, 1876 MiB, 12282 MiB
2025/04/28 15:12:09.054, 1876 MiB, 12282 MiB
2025/04/28 15:12:10.054, 1876 MiB, 12282 MiB
2025/04/28 15:12:11.054, 1876 MiB, 12282 MiB
2025/04/28 15:12:12.055, 1876 MiB, 12282 MiB
2025/04/28 15:12:13.055, 1876 MiB, 12282 MiB
2025/04/28 15:12:14.055, 1876 MiB, 12282 MiB
2025/04/28 15:12:15.055, 1876 MiB, 12282 MiB
2025/04/28 15:12:16.055, 1876 MiB, 12282 MiB
2025/04/28 15:12:17.056, 1876 MiB, 12282 MiB
2025/04/28 15:12:18.056, 1876 MiB, 12282 MiB
2025/04/28 15:12:19.056, 1876 MiB, 12282 MiB
2025/04/28 15:12:20.056, 1876 MiB, 12282 MiB
2025/04/28 15:12:21.056, 1876 MiB, 12282 MiB
2025/04/28 15:12:22.057, 1876 MiB, 12282 MiB
2025/04/28 15:12:23.057, 1876 MiB, 12282 MiB
2025/04/28 15:12:24.057, 1876 MiB, 12282 MiB
2025/04/28 15:12:25.057, 1876 MiB, 12282 MiB
2025/04/28 15:12:26.058, 1876 MiB, 12282 MiB
2025/04/28 15:12:27.058, 1876 MiB, 12282 MiB
2025/04/28 15:12:28.058, 1876 MiB, 12282 MiB
2025/04/28 15:12:29.058, 1876 MiB, 12282 MiB
2025/04/28 15:12:30.059, 1876 MiB, 12282 MiB
2025/04/28 15:12:31.059, 1876 MiB, 12282 MiB
2025/04/28 15:12:32.059, 1876 MiB, 12282 MiB
2025/04/28 15:12:33.059, 1876 MiB, 12282 MiB
2025/04/28 15:12:34.060, 1876 MiB, 12282 MiB
2025/04/28 15:12:35.060, 1876 MiB, 12282 MiB
2025/04/28 15:12:36.060, 1876 MiB, 12282 MiB
2025/04/28 15:12:37.060, 1876 MiB, 12282 MiB
2025/04/28 15:12:38.060, 1876 MiB, 12282 MiB
2025/04/28 15:12:39.061, 1876 MiB, 12282 MiB
2025/04/28 15:12:40.061, 1876 MiB, 12282 MiB
2025/04/28 15:12:41.061, 1876 MiB, 12282 MiB
2025/04/28 15:12:42.061, 1876 MiB, 12282 MiB
2025/04/28 15:12:43.062, 158 MiB, 12282 MiB
2025/04/28 15:12:44.062, 258 MiB, 12282 MiB
2025/04/28 15:12:45.062, 358 MiB, 12282 MiB
2025/04/28 15:12:46.062, 358 MiB, 12282 MiB
2025/04/28 15:12:47.063, 810 MiB, 12282 MiB
2025/04/28 15:12:48.063, 1094 MiB, 12282 MiB
2025/04/28 15:12:49.063, 1094 MiB, 12282 MiB
2025/04/28 15:12:50.063, 1094 MiB, 12282 MiB
2025/04/28 15:12:51.063, 1094 MiB, 12282 MiB
2025/04/28 15:12:52.064, 1094 MiB, 12282 MiB
2025/04/28 15:12:53.064, 1094 MiB, 12282 MiB
2025/04/28 15:12:54.064, 1106 MiB, 12282 MiB
2025/04/28 15:12:55.064, 1094 MiB, 12282 MiB
2025/04/28 15:12:56.064, 1134 MiB, 12282 MiB
2025/04/28 15:12:57.065, 1134 MiB, 12282 MiB
2025/04/28 15:12:58.065, 1134 MiB, 12282 MiB
2025/04/28 15:12:59.065, 1134 MiB, 12282 MiB
2025/04/28 15:13:00.065, 1134 MiB, 12282 MiB
2025/04/28 15:13:01.065, 1134 MiB, 12282 MiB
2025/04/28 15:13:02.065, 1134 MiB, 12282 MiB
2025/04/28 15:13:03.065, 1134 MiB, 12282 MiB
2025/04/28 15:13:04.066, 1134 MiB, 12282 MiB
2025/04/28 15:13:05.066, 1134 MiB, 12282 MiB
2025/04/28 15:13:06.066, 1134 MiB, 12282 MiB
2025/04/28 15:13:07.066, 1140 MiB, 12282 MiB
2025/04/28 15:13:08.066, 1146 MiB, 12282 MiB
2025/04/28 15:13:09.066, 1134 MiB, 12282 MiB
2025/04/28 15:13:10.066, 1134 MiB, 12282 MiB
2025/04/28 15:13:11.067, 1134 MiB, 12282 MiB
2025/04/28 15:13:12.067, 1134 MiB, 12282 MiB
